A,determinant,B,type_relation
part,de,gâteau,r_has_property-1
partage,de,bien,r_has_property-1
particularité,de,cas,r_has_property-1
partie,de,jeu,r_has_property-1
parure,de,reine,r_has_property-1
passage,de,temps,r_has_property-1
passion,de,musique,r_has_property-1
passivité,de,foule,r_has_property-1
patience,de,saint,r_has_property-1
patois,de,pays,r_has_property-1
patrie,de,cœur,r_has_property-1
patronyme,de,chef,r_has_property-1
pauvreté,de,langue,r_has_property-1
peur,de,mort,r_has_property-1
peau,de,pêche,r_has_property-1
pêché,d',orgueil,r_has_property-1
pédagogie,de,prof,r_has_property-1
peine,de,cœur,r_has_property-1
penchant,de,vice,r_has_property-1
pénétration,d',esprit,r_has_property-1
pénibilité,de,tâche,r_has_property-1
pénurie,d',eau,r_has_property-1
pépinière,de,talent,r_has_property-1
perception,de,sens,r_has_property-1
percussion,de,son,r_has_property-1
perfection,de,forme,r_has_property-1
perfidie,de,femme,r_has_property-1
performance,de,sportif,r_has_property-1
péril,de,mer,r_has_property-1
période,de,vie,r_has_property-1
perle,de,rosée,r_has_property-1
permanence,de,lieu,r_has_property-1
permissivité,de,loi,r_has_property-1
persévérance,de,chercheur,r_has_property-1
persistance,de,pluie,r_has_property-1
personnalité,de,chef,r_has_property-1
perspicacité,de,juge,r_has_property-1
perte,de,temps,r_has_property-1
pesanteur,de,corps,r_has_property-1
pessimisme,d',esprit,r_has_property-1
peste,de,siècle,r_has_property-1
petitesse,de,geste,r_has_property-1
pétillement,de,œil,r_has_property-1
peuple,de,pays,r_has_property-1
phénomène,de,mode,r_has_property-1
philosophie,de,vie,r_has_property-1
phonétique,de,mot,r_has_property-1
physique,de,corps,r_has_property-1
piété,de,fille,r_has_property-1
pigeon,de,ville,r_has_property-1
pillage,de,musée,r_has_property-1
pilonnage,de,ville,r_has_property-1
piment,de,vie,r_has_property-1
piquant,de,rose,r_has_property-1
pique,de,colère,r_has_property-1
pire,de,sort,r_has_property-1
pitié,de,mère,r_has_property-1
pivot,de,vie,r_has_property-1
place,de,ville,r_has_property-1
placidité,de,lac,r_has_property-1
plage,de,sable,r_has_property-1
plaisir,de,lire,r_has_property-1
plan,de,vol,r_has_property-1
plastique,de,corps,r_has_property-1
pleur,d',enfant,r_has_property-1
plénitude,d',instase,r_has_property-1
pli,de,peau,r_has_property-1
pluie,de,été,r_has_property-1
plume,d',oiseau,r_has_property-1
pluralité,de,sens,r_has_property-1
poésie,d',image,r_has_property-1
poids,d',âge,r_has_property-1
poigne,de,fer,r_has_property-1
point,de,vue,r_has_property-1
polémique,de,presse,r_has_property-1
politesse,de,roi,r_has_property-1
pollution,d',air,r_has_property-1
polyvalence,d',agent,r_has_property-1
pompe,d',eau,r_has_property-1
ponctualité,de,heure,r_has_property-1
populaire,de,quartier,r_has_property-1
popularité,de,star,r_has_property-1
port,de,bras,r_has_property-1
portée,de,voix,r_has_property-1
position,de,corps,r_has_property-1
possession,de,bien,r_has_property-1
posture,de,chef,r_has_property-1
potence,de,bois,r_has_property-1
potentiel,d',action,r_has_property-1
poudre,de,riz,r_has_property-1
pousse,d',arbre,r_has_property-1
pouvoir,d',argent,r_has_property-1
pratique,de,sport,r_has_property-1
précaution,d',usage,r_has_property-1
précision,de,geste,r_has_property-1
prédilection,de,goût,r_has_property-1
préférence,de,choix,r_has_property-1
préjudice,de,victime,r_has_property-1
prématurité,de,né,r_has_property-1
premier,de,classe,r_has_property-1
premium,de,prix,r_has_property-1
présence,d',esprit,r_has_property-1
pression,d',air,r_has_property-1
prestige,de,grade,r_has_property-1
présomption,d',innocence,r_has_property-1
prétention,de,homme,r_has_property-1
preuve,d',amour,r_has_property-1
preux,de,cœur,r_has_property-1
prière,de,foi,r_has_property-1
primauté,de,loi,r_has_property-1
primeur,de,fruit,r_has_property-1
prisme,de,verre,r_has_property-1
privation,de,droit,r_has_property-1
privilège,de,âge,r_has_property-1
prix,de,sang,r_has_property-1
problème,de,maths,r_has_property-1
procès,d',intention,r_has_property-1
prochain,de,voisin,r_has_property-1
prodigalité,de,riche,r_has_property-1
prodige,d',enfant,r_has_property-1
production,de,masse,r_has_property-1
produit,de,vente,r_has_property-1
profit,de,guerre,r_has_property-1
profondeur,d',eau,r_has_property-1
progrès,de,science,r_has_property-1
prohibition,d',alcool,r_has_property-1
projection,de,film,r_has_property-1
prolifération,d',algue,r_has_property-1
promesse,de,don,r_has_property-1
promiscuité,de,foulée,r_has_property-1
promptitude,de,réponse,r_has_property-1
propagation,de,bruit,r_has_property-1
propension,de,vice,r_has_property-1
prophétie,de,malheur,r_has_property-1
proportion,de,corps,r_has_property-1
propos,de,table,r_has_property-1
propreté,de,main,r_has_property-1
propriété,de,métal,r_has_property-1
prose,de,poète,r_has_property-1
prospérité,de,ville,r_has_property-1
protection,de,loi,r_has_property-1
prouesse,d',athlète,r_has_property-1
provenance,de,fruit,r_has_property-1
proximité,de,lieu,r_has_property-1
prudence,de,chef,r_has_property-1
pudeur,de,fille,r_has_property-1
puérilité,de,geste,r_has_property-1
puissance,de,feu,r_has_property-1
pulsion,de,vie,r_has_property-1
pureté,de,ligne,r_has_property-1
putréfaction,de,corps,r_has_property-1
puzzle,de,vie,r_has_property-1
qualité,de,vie,r_has_property-1
quand,de,réponse,r_has_property-1
quantité,de,matière,r_has_property-1
querelle,de,clocher,r_has_property-1
question,de,temps,r_has_property-1
quête,de,sens,r_has_property-1
queue,de,pie,r_has_property-1
quiétude,d',esprit,r_has_property-1
quintessence,d',art,r_has_property-1
quotidien,de,vie,r_has_property-1
rabais,de,prix,r_has_property-1
race,de,chien,r_has_property-1
radicalisme,de,vue,r_has_property-1
radotage,de,vieillard,r_has_property-1
rafale,de,vent,r_has_property-1
raffinement,de,goût,r_has_property-1
rage,de,dents,r_has_property-1
raideur,de,corps,r_has_property-1
raillerie,de,foule,r_has_property-1
raison,de,plus,r_has_property-1
rajustement,de,taux,r_has_property-1
ralentissement,de,cœur,r_has_property-1
rancœur,de,rival,r_has_property-1
rançon,de,gloire,r_has_property-1
rang,de,famille,r_has_property-1
rapacité,de,vautour,r_has_property-1
rapidité,de,pas,r_has_property-1
rareté,de,bien,r_has_property-1
rassemblement,de,foule,r_has_property-1
rassasié,de,pain,r_has_property-1
rayon,de,lune,r_has_property-1
réaction,de,foule,r_has_property-1
réalité,de,terrain,r_has_property-1
rebelle,d',esprit,r_has_property-1
recherche,de,vérité,r_has_property-1
récit,de,vie,r_has_property-1
réclame,de,presse,r_has_property-1
récolte,de,blé,r_has_property-1
recommandation,de,chef,r_has_property-1
recomposition,d',image,r_has_property-1
reconnaissance,de,don,r_has_property-1
recours,de,loi,r_has_property-1
rectitude,de,ligne,r_has_property-1
récupération,de,énergie,r_has_property-1
rédemption,de,âme,r_has_property-1
redondance,de,style,r_has_property-1
réflexe,de,peur,r_has_property-1
réflexion,d',esprit,r_has_property-1
réforme,de,état,r_has_property-1
refrain,de,chant,r_has_property-1
refuge,de,montagne,r_has_property-1
refus,d',aide,r_has_property-1
regard,de,braise,r_has_property-1
régime,de,faveur,r_has_property-1
règle,de,jeu,r_has_property-1
règlement,de,compte,r_has_property-1
règne,de,roi,r_has_property-1
regret,de,passé,r_has_property-1
régularité,de,cycle,r_has_property-1
rejet,de,greffe,r_has_property-1
relâchement,de,muscle,r_has_property-1
relation,de,cause,r_has_property-1
relief,de,sol,r_has_property-1
religion,de,état,r_has_property-1
reliquat,de,dette,r_has_property-1
remède,de,cheval,r_has_property-1
réminiscence,de,passé,r_has_property-1
remord,de,conscience,r_has_property-1
rempart,de,ville,r_has_property-1
remous,d',eau,r_has_property-1
rencontre,de,hasard,r_has_property-1
rendement,de,sol,r_has_property-1
renommée,d',auteur,r_has_property-1
renoncement,de,soi,r_has_property-1
rénovation,de,ville,r_has_property-1
rentabilité,de,bien,r_has_property-1
renversement,de,situation,r_has_property-1
repas,de,noël,r_has_property-1
repentir,de,pécheur,r_has_property-1
répertoire,de,musique,r_has_property-1
répétition,de,geste,r_has_property-1
réplique,de,film,r_has_property-1
réponse,de,berger,r_has_property-1
repos,de,guerrier,r_has_property-1
reproche,de,mère,r_has_property-1
répulsion,de,corps,r_has_property-1
réputation,de,sage,r_has_property-1
réseau,d',amis,r_has_property-1
réserve,de,nature,r_has_property-1
résilience,de,corps,r_has_property-1
résignation,d',esclave,r_has_property-1
résistance,de,matière,r_has_property-1
résolution,d',image,r_has_property-1
résonance,de,voix,r_has_property-1
respect,d',autrui,r_has_property-1
respiration,de,vie,r_has_property-1
resplendissant,de,beauté,r_has_property-1
responsabilité,de,chef,r_has_property-1
ressort,de,âme,r_has_property-1
ressource,de,sol,r_has_property-1
reste,de,repas,r_has_property-1
restriction,de,droit,r_has_property-1
résultat,de,test,r_has_property-1
retard,de,train,r_has_property-1
rétention,d',eau,r_has_property-1
retentissement,de,cri,r_has_property-1
retenue,de,ton,r_has_property-1
retour,de,âge,r_has_property-1
retraite,de,soldat,r_has_property-1
réussite,de,plan,r_has_property-1
réveil,de,force,r_has_property-1
révélité,de,âme,r_has_property-1
revers,de,fortune,r_has_property-1
révision,de,loi,r_has_property-1
révolte,de,peuple,r_has_property-1
révolution,d',astron,r_has_property-1
richesse,d',esprit,r_has_property-1
ridicule,de,geste,r_has_property-1
ride,de,peau,r_has_property-1
rigueur,de,froid,r_has_property-1
rire,d',enfant,r_has_property-1
risque,de,mort,r_has_property-1
rituel,de,tribou,r_has_property-1
rivalité,de,chef,r_has_property-1
robustesse,de,âme,r_has_property-1
roi,de,monde,r_has_property-1
rôle,de,père,r_has_property-1
rondeur,de,hanche,r_has_property-1
ronflement,de,moteur,r_has_property-1
rosée,de,matin,r_has_property-1
rotation,de,terre,r_has_property-1
roue,de,secours,r_has_property-1
rouget,de,teint,r_has_property-1
rouille,de,fer,r_has_property-1
routine,de,jour,r_has_property-1
rouvence,de,vie,r_has_property-1
roux,de,cheveu,r_has_property-1
royal,d',allure,r_has_property-1
ruade,de,cheval,r_has_property-1
ruban,de,soie,r_has_property-1
rude,de,climat,r_has_property-1
ruine,de,ville,r_has_property-1
rumeur,de,foule,r_has_property-1
rupture,de,ban,r_has_property-1
rural,de,milieu,r_has_property-1
rustique,de,style,r_has_property-1
rut,de,cerf,r_has_property-1
rythme,de,musique,r_has_property-1
sable,de,mer,r_has_property-1
sabotage,de,train,r_has_property-1
sacré,d',art,r_has_property-1
sacrifice,de,vie,r_has_property-1
sadisme,de,bourreau,r_has_property-1
sagacité,d',esprit,r_has_property-1
sagesse,de,peuple,r_has_property-1
sain,d',esprit,r_has_property-1
saisie,de,bien,r_has_property-1
saison,d',année,r_has_property-1
saleté,de,main,r_has_property-1
saillie,de,mur,r_has_property-1
salon,de,ville,r_has_property-1
salut,de,âme,r_has_property-1
sanction,de,loi,r_has_property-1
sang,de,veine,r_has_property-1
sanglot,d',enfant,r_has_property-1
sanitaire,de,soin,r_has_property-1
santé,de,fer,r_has_property-1
saoul,de,vin,r_has_property-1
sarcasme,de,rival,r_has_property-1
saturation,d',image,r_has_property-1
saut,d',ange,r_has_property-1
sauvage,d',aspect,r_has_property-1
sauveur,de,patrie,r_has_property-1
savane,d',afrique,r_has_property-1
savant,d',esprit,r_has_property-1
saveur,de,fruit,r_has_property-1
scandale,de,presse,r_has_property-1
scène,de,vie,r_has_property-1
scepticisme,de,sage,r_has_property-1
schéma,de,pensée,r_has_property-1
science,de,vie,r_has_property-1
scintillement,de,étoile,r_has_property-1
score,de,match,r_has_property-1
secret,de,famille,r_has_property-1
secte,de,monde,r_has_property-1
sécurité,d',emploi,r_has_property-1
séduction,de,femme,r_has_property-1
segment,de,droite,r_has_property-1
séjour,de,montagne,r_has_property-1
sel,de,mer,r_has_property-1
sélection,de,fruit,r_has_property-1
selle,de,cheval,r_has_property-1
semaine,de,travail,r_has_property-1
semence,de,blé,r_has_property-1
sens,de,humour,r_has_property-1
sensation,de,faim,r_has_property-1
sensibilité,d',artiste,r_has_property-1
sentence,de,juge,r_has_property-1
sentiment,de,peur,r_has_property-1
septique,d',avis,r_has_property-1
séquence,de,film,r_has_property-1
sérénité,d',esprit,r_has_property-1
sérieux,d',élève,r_has_property-1
serment,d',homme,r_has_property-1
serre,d',oiseau,r_has_property-1
servage,de,paysan,r_has_property-1
service,d',ordre,r_has_property-1
servitude,de,homme,r_has_property-1
seuil,de,douleur,r_has_property-1
sévérité,de,peine,r_has_property-1
sexe,d',ange,r_has_property-1
sidération,de,foule,r_has_property-1
siècle,de,lumière,r_has_property-1
siège,de,ville,r_has_property-1
signe,de,temps,r_has_property-1
silence,de,nuit,r_has_property-1
silhouette,de,femme,r_has_property-1
similitude,de,cas,r_has_property-1
simplicité,de,âme,r_has_property-1
sincérité,d',aveu,r_has_property-1
singularité,de,être,r_has_property-1
sinistre,d',aspect,r_has_property-1
site,de,fouille,r_has_property-1
situation,de,crise,r_has_property-1
sobriété,de,vie,r_has_property-1
socle,de,pierre,r_has_property-1
soif,d',apprendre,r_has_property-1
soin,de,corps,r_has_property-1
soir,de,hiver,r_has_property-1
soleil,de,plomb,r_has_property-1
solidarité,de,classe,r_has_property-1
solidité,de,murs,r_has_property-1
solitude,de,homme,r_has_property-1
solution,de,rechange,r_has_property-1
sombre,d',aspect,r_has_property-1
somme,d',argent,r_has_property-1
sommet,de,montagne,r_has_property-1
sommeil,de,juste,r_has_property-1
somnolence,de,midi,r_has_property-1
son,de,cloche,r_has_property-1
sonate,de,piano,r_has_property-1
songe,de,nuit,r_has_property-1
sonorité,de,mot,r_has_property-1
sorcellerie,de,nuit,r_has_property-1
sort,de,homme,r_has_property-1
souffle,de,vent,r_has_property-1
souffrance,de,corps,r_has_property-1
soulagement,de,âme,r_has_property-1
souplesse,de,corps,r_has_property-1
source,de,vie,r_has_property-1
sourire,d',ange,r_has_property-1
sournoiserie,de,regard,r_has_property-1
soutien,de,famille,r_has_property-1
souvenir,d',enfance,r_has_property-1
souveraineté,de,état,r_has_property-1
spécificité,de,cas,r_has_property-1
spectacle,de,rue,r_has_property-1
sphère,d',influence,r_has_property-1
splendeur,d',orient,r_has_property-1
spontanéité,de,geste,r_has_property-1
sport,de,glisse,r_has_property-1
stabilité,d',emploi,r_has_property-1
stade,de,vie,r_has_property-1
stagnation,d',eau,r_has_property-1
standard,de,vie,r_has_property-1
statut,de,femme,r_has_property-1
stérilité,de,sol,r_has_property-1
stigmate,de,passé,r_has_property-1
stimulus,de,nerf,r_has_property-1
stock,de,bien,r_has_property-1
stratégie,de,jeu,r_has_property-1
stress,de,travail,r_has_property-1
structure,de,corps,r_has_property-1
style,de,vie,r_has_property-1
subtilité,d',esprit,r_has_property-1
succès,d',estime,r_has_property-1
sueur,de,front,r_has_property-1
suffisance,de,riche,r_has_property-1
suicide,de,jeune,r_has_property-1
suite,d',idée,r_has_property-1
sujet,de,droit,r_has_property-1
superbe,d',allure,r_has_property-1
superficie,de,lac,r_has_property-1
supériorité,de,chef,r_has_property-1
superstition,de,peuple,r_has_property-1
supplice,de,tantale,r_has_property-1
suprématie,de,race,r_has_property-1
surcharge,de,travail,r_has_property-1
sureté,de,main,r_has_property-1
surface,d',eau,r_has_property-1
surnaturel,de,fait,r_has_property-1
surplus,de,bien,r_has_property-1
surprise,de,chef,r_has_property-1
sursaut,de,vie,r_has_property-1
survie,d',espèce,r_has_property-1
suspense,de,film,r_has_property-1
symbole,de,paix,r_has_property-1
symétrie,de,visage,r_has_property-1
sympathie,de,voisin,r_has_property-1
symphonie,de,vent,r_has_property-1
symptôme,de,mal,r_has_property-1
syncope,de,cœur,r_has_property-1
synergie,de,groupe,r_has_property-1
système,de,loi,r_has_property-1
table,de,loi,r_has_property-1
tableau,de,maître,r_has_property-1
tache,de,sang,r_has_property-1
tact,de,doigt,r_has_property-1
taille,de,corps,r_has_property-1
talent,d',acteur,r_has_property-1
talon,d',achille,r_has_property-1
tambour,de,guerre,r_has_property-1
tamis,de,soie,r_has_property-1
tendance,de,mode,r_has_property-1
tendresse,de,mère,r_has_property-1
teneur,de,fer,r_has_property-1
tension,de,muscle,r_has_property-1
tentation,de,chair,r_has_property-1
tenue,de,corps,r_has_property-1
terme,de,loi,r_has_property-1
ternissure,de,teint,r_has_property-1
terreur,de,nuit,r_has_property-1
terroir,de,pays,r_has_property-1
test,d',effort,r_has_property-1
tête,de,turc,r_has_property-1
théâtre,de,guerre,r_has_property-1
théorie,de,loi,r_has_property-1
thermique,de,flux,r_has_property-1
thèse,de,doctorat,r_has_property-1
tiédeur,de,âme,r_has_property-1
timidité,d',enfant,r_has_property-1
timbre,de,voix,r_has_property-1
tirage,de,sort,r_has_property-1
titre,de,gloire,r_has_property-1
toile,de,fond,r_has_property-1
tolérance,d',esprit,r_has_property-1
ton,de,voix,r_has_property-1
tonicité,de,peau,r_has_property-1
topographie,de,sol,r_has_property-1
tour,de,bras,r_has_property-1
tourment,de,âme,r_has_property-1
toxicité,de,bien,r_has_property-1
trace,de,pas,r_has_property-1
tradition,de,pays,r_has_property-1
trafic,d',arme,r_has_property-1
tragédie,de,vie,r_has_property-1
trahison,d',ami,r_has_property-1
trait,de,génie,r_has_property-1
trame,de,vie,r_has_property-1
tranchant,d',avis,r_has_property-1
tranquillité,de,campagne,r_has_property-1
transparence,de,vitre,r_has_property-1
transport,de,fond,r_has_property-1
travail,de,force,r_has_property-1
travers,d',esprit,r_has_property-1
tremblement,de,terre,r_has_property-1
trésor,de,monde,r_has_property-1
tribu,de,désert,r_has_property-1
triomphe,de,volonté,r_has_property-1
tristesse,de,coeur,r_has_property-1
tromperie,de,sens,r_has_property-1
trône,de,roi,r_has_property-1
trouble,d',ordre,r_has_property-1
tueur,de,gage,r_has_property-1
tumulte,de,foule,r_has_property-1
type,de,homme,r_has_property-1
tyrannie,de,mode,r_has_property-1
union,de,force,r_has_property-1
unité,de,mesure,r_has_property-1
univers,d',enfant,r_has_property-1
urgence,de,soin,r_has_property-1
usage,de,monde,r_has_property-1
usure,de,temps,r_has_property-1
utopie,de,paix,r_has_property-1
vacance,de,pouvoir,r_has_property-1
vache,de,lait,r_has_property-1
vague,de,froid,r_has_property-1
vaillance,de,soldat,r_has_property-1
valeur,de,bien,r_has_property-1
validité,de,test,r_has_property-1
valise,de,nuit,r_has_property-1
valse,de,temps,r_has_property-1
vampire,de,nuit,r_has_property-1
vandalisme,de,rue,r_has_property-1
vanité,de,monde,r_has_property-1
vapeur,d',eau,r_has_property-1
variante,de,jeu,r_has_property-1
variété,de,fruit,r_has_property-1
vaste,de,champ,r_has_property-1
veine,de,chance,r_has_property-1
vélocité,de,son,r_has_property-1
venance,de,lieu,r_has_property-1
vendetta,de,clan,r_has_property-1
venin,de,serpent,r_has_property-1
vent,de,nord,r_has_property-1
verdeur,d',esprit,r_has_property-1
verger,de,fruit,r_has_property-1
vérité,de,fait,r_has_property-1
vernis,d',ongle,r_has_property-1
vers,de,terre,r_has_property-1
version,de,histoire,r_has_property-1
vertu,de,femme,r_has_property-1
vêtement,de,nuit,r_has_property-1
vétusté,de,mur,r_has_property-1
vibration,de,corde,r_has_property-1
vice,de,forme,r_has_property-1
victoire,de,étape,r_has_property-1
victime,de,guerre,r_has_property-1
vidange,de,cuve,r_has_property-1
vie,de,homme,r_has_property-1
vieillesse,de,corps,r_has_property-1
vierge,d',esprit,r_has_property-1
vigueur,de,loi,r_has_property-1
vile,d',aspect,r_has_property-1
villa,de,luxe,r_has_property-1
ville,de,nuit,r_has_property-1
vin,de,pays,r_has_property-1
violence,de,choc,r_has_property-1
virilité,de,homme,r_has_property-1
virtuosité,d',artiste,r_has_property-1
virus,de,hiver,r_has_property-1
visage,d',ange,r_has_property-1
vision,de,nuit,r_has_property-1
visite,d',ami,r_has_property-1
vitesse,de,son,r_has_property-1
vocation,de,prêtre,r_has_property-1
vœu,de,paix,r_has_property-1
vogue,de,mode,r_has_property-1
voile,de,épouse,r_has_property-1
voix,d',or,r_has_property-1
vol,d',oiseau,r_has_property-1
volcan,de,feu,r_has_property-1
volonté,de,chef,r_has_property-1
volume,de,son,r_has_property-1
volupté,de,chair,r_has_property-1
voyage,de,noce,r_has_property-1
voyant,de,couleur,r_has_property-1
vrai,de,nature,r_has_property-1
vulgarité,de,geste,r_has_property-1
vulnérabilité,d',enfant,r_has_property-1
xénophobie,de,foule,r_has_property-1
zèle,d',apôtre,r_has_property-1
zénith,de,vie,r_has_property-1
zone,de,paix,r_has_property-1
